id ra dec zphot zspec f770w f1800w mstar_gal mstar_gal_l68 mstar_gal_u68 av_gal_1 av_gal_1_l68 av_gal_1_u68 av_gal_2 av_gal_2_l68 av_gal_2_u68 logLbol logLbol_l68 logLbol_u68 av_agn av_agn_l68 av_agn_u68 fhd fhd_l68 fhd_u68 mstar_hybrid mstar_hybrid_l68 mstar_hybrid_u68 av_hybrid av_hybrid_l68 av_hybrid_u68
COS-2144 150.139906 2.442501 4.66 -1.0 -25.55 -23.4 8.61 8.5 8.71 0.0 0.0 0.0 0.98 0.85 1.12 44.37 44.3 44.45 1.84 1.57 2.14 0.6848 0.1944 1.2341 7.0 6.86 7.46 0.25 0.11 0.41
COS-2356 150.163424 2.439157 5.14 -1.0 24.16 -23.36 10.5 10.33 10.67 1.11 0.38 1.64 3.4 3.09 3.79 46.08 46.04 46.12 2.96 2.85 3.07 0.0127 0.0034 0.0247 8.57 8.39 8.72 0.28 0.1 0.47
COS-2451 150.173282 2.437678 4.69 -1.0 24.13 -22.97 9.87 9.8 9.94 0.0 0.0 0.0 1.31 1.22 1.39 45.6 45.56 45.65 2.14 2.0 2.3 0.1521 0.1091 0.1823 8.32 8.3 8.52 1.02 0.99 1.06
COS-5229 150.155252 2.406674 4.72 -1.0 25.06 -23.83 9.55 9.48 9.61 0.0 0.0 0.0 2.52 2.31 2.74 45.22 45.15 45.29 2.73 2.51 2.97 0.2151 0.1508 0.262 7.53 7.09 7.82 0.3 0.07 0.77
COS-5621 150.155826 2.403112 5.23 -1.0 25.43 -22.8 9.71 9.63 9.78 0.0 0.0 0.0 1.86 1.78 1.93 45.52 45.47 45.57 2.7 2.57 2.83 0.0434 0.0108 0.1148 7.41 7.27 7.6 0.43 0.31 0.55
COS-5844 150.137105 2.40121 8.2 -1.0 25.56 -23.25 9.87 9.73 10.03 0.13 0.04 0.3 3.82 3.69 4.0 46.09 46.01 46.16 3.32 3.14 3.5 0.154 0.043 0.2642 8.58 8.36 8.72 0.12 0.04 0.25
COS-7071 150.142362 2.390024 5.23 -1.0 24.33 -23.07 10.65 10.56 10.75 1.25 1.0 1.48 6.32 5.95 6.59 45.84 45.73 45.93 4.24 3.94 4.5 0.1261 0.0671 0.1892 7.86 7.51 8.06 0.2 0.06 0.41
COS-7236 150.170166 2.38839 5.29 -1.0 23.77 -23.12 9.91 9.83 9.99 0.09 0.03 0.18 1.55 1.5 1.59 46.2 46.16 46.24 2.96 2.86 3.08 0.0117 0.0032 0.0219 8.13 8.06 8.22 0.29 0.22 0.35
COS-8227 150.156844 2.379459 6.67 -1.0 24.9 -23.43 10.73 10.63 10.78 1.81 1.38 1.95 5.09 4.72 5.43 46.1 46.03 46.16 3.6 3.46 3.74 0.0434 0.0139 0.077 8.06 7.76 8.26 0.23 0.08 0.47
COS-8406 150.150463 2.37787 5.17 -1.0 25.37 -23.48 9.74 9.66 9.81 0.0 0.0 0.0 3.07 2.88 3.25 45.45 45.35 45.56 3.51 3.24 3.79 0.2031 0.1066 0.297 7.44 6.97 7.75 0.24 0.06 0.64
COS-8550 150.1759 2.376759 4.93 -1.0 25.44 -23.36 9.82 9.72 9.91 0.0 0.0 0.0 2.87 2.5 3.12 45.54 45.47 45.62 3.39 3.19 3.61 0.0903 0.024 0.1833 7.9 7.61 8.09 0.14 0.04 0.3
COS-11625 150.063327 2.354978 4.72 -1.0 24.17 -23.32 9.72 9.65 9.78 0.0 0.0 0.0 1.63 1.42 1.77 45.46 45.41 45.52 2.46 2.3 2.64 0.1843 0.1472 0.2188 8.19 8.07 8.31 1.2 1.14 1.27
COS-12184 150.07671 2.350924 5.17 -1.0 25.46 -22.87 9.09 8.98 9.2 0.0 0.0 0.0 1.85 1.69 2.03 45.1 44.99 45.23 2.83 2.51 3.18 0.9449 0.6529 1.2471 7.13 7.02 7.25 0.32 0.18 0.47
COS-13104 150.144439 2.344396 4.54 -1.0 23.97 -23.35 10.44 10.39 10.49 0.03 0.01 0.06 2.02 1.89 2.18 46.05 46.03 46.08 2.88 2.79 2.98 0.0056 0.0014 0.0125 9.08 8.99 9.13 0.06 0.02 0.13
COS-13886 150.175769 2.338785 5.86 -1.0 23.27 -23.11 10.72 10.63 10.77 0.09 0.02 0.23 2.52 2.46 2.59 46.41 46.39 46.42 2.9 2.84 2.96 0.0016 0.0005 0.004 8.17 8.15 8.19 0.4 0.38 0.43
COS-15702 150.07568 2.325286 4.69 -1.0 -26.09 -23.25 8.5 8.38 8.64 0.0 0.0 0.0 1.14 1.02 1.24 44.44 44.36 44.52 1.79 1.51 2.09 0.7561 0.2556 1.2768 7.1 6.99 7.21 0.42 0.27 0.58
COS-18805 150.067833 2.303299 6.43 -1.0 24.68 -23.0 10.19 10.07 10.32 0.4 0.11 1.04 3.15 2.7 3.43 46.06 45.96 46.16 3.64 3.38 3.88 0.0787 0.0233 0.1468 8.48 8.15 8.67 0.24 0.08 0.44
COS-20188 150.076026 2.29377 5.77 -1.0 25.01 -23.49 10.01 9.93 10.09 0.0 0.0 0.0 2.19 2.05 2.32 45.77 45.7 45.84 2.77 2.58 2.96 0.0534 0.0151 0.1062 8.2 7.85 8.43 0.19 0.05 0.45
COS-20492 150.055362 2.291587 6.43 -1.0 24.54 -23.5 9.8 9.69 9.91 0.0 0.0 0.0 1.08 0.99 1.16 45.9 45.84 45.97 2.54 2.39 2.71 0.0467 0.0134 0.0819 8.28 8.22 8.34 0.3 0.22 0.38
COS-20652 150.078517 2.290443 4.69 -1.0 25.25 -23.47 9.47 9.37 9.56 0.0 0.0 0.0 2.07 1.78 2.37 45.13 45.05 45.21 2.29 2.04 2.58 0.3517 0.2453 0.4473 8.23 7.83 8.5 0.98 0.47 1.33
COS-21273 150.079159 2.285734 6.37 -1.0 24.96 -23.48 9.9 9.82 9.97 0.14 0.04 0.26 2.99 2.81 3.15 45.78 45.68 45.88 3.32 3.08 3.57 0.0985 0.0312 0.1777 7.58 7.47 7.94 0.2 0.08 0.33
